tx, ty, tz
2.20116e-05, 6.9709e-05, -2.7602e-05
2.21264e-05, 6.99453e-05, -2.76627e-05
2.22302e-05, 7.01591e-05, -2.77176e-05
2.23243e-05, 7.03527e-05, -2.77674e-05
2.24094e-05, 7.0528e-05, -2.78124e-05
2.24864e-05, 7.06866e-05, -2.78531e-05
2.25562e-05, 7.08302e-05, -2.789e-05
2.26193e-05, 7.09602e-05, -2.79234e-05
2.26764e-05, 7.10779e-05, -2.79536e-05
2.27282e-05, 7.11844e-05, -2.7981e-05
2.2775e-05, 7.12808e-05, -2.80057e-05
2.28174e-05, 7.13681e-05, -2.80281e-05
2.28557e-05, 7.14471e-05, -2.80484e-05
2.28905e-05, 7.15186e-05, -2.80668e-05
2.29219e-05, 7.15833e-05, -2.80834e-05
2.29504e-05, 7.16419e-05, -2.80985e-05
2.29761e-05, 7.1695e-05, -2.81121e-05
2.29994e-05, 7.1743e-05, -2.81244e-05
2.30205e-05, 7.17864e-05, -2.81356e-05
2.30396e-05, 7.18258e-05, -2.81457e-05
2.30569e-05, 7.18614e-05, -2.81548e-05
2.30726e-05, 7.18936e-05, -2.81631e-05
2.30868e-05, 7.19228e-05, -2.81706e-05
2.30996e-05, 7.19492e-05, -2.81774e-05
2.31112e-05, 7.19731e-05, -2.81835e-05
2.31217e-05, 7.19948e-05, -2.81891e-05
2.31312e-05, 7.20144e-05, -2.81941e-05
2.31399e-05, 7.20321e-05, -2.81987e-05
2.31477e-05, 7.20482e-05, -2.82028e-05
2.31547e-05, 7.20627e-05, -2.82065e-05
2.31611e-05, 7.20759e-05, -2.82099e-05
2.31669e-05, 7.20878e-05, -2.8213e-05
2.31721e-05, 7.20985e-05, -2.82158e-05
2.31769e-05, 7.21083e-05, -2.82183e-05
2.31811e-05, 7.21171e-05, -2.82205e-05
2.3185e-05, 7.21251e-05, -2.82226e-05
2.31885e-05, 7.21324e-05, -2.82244e-05
2.31917e-05, 7.21389e-05, -2.82261e-05
2.31946e-05, 7.21449e-05, -2.82276e-05
2.31972e-05, 7.21502e-05, -2.8229e-05
2.31996e-05, 7.21551e-05, -2.82303e-05
2.32017e-05, 7.21595e-05, -2.82314e-05
2.32036e-05, 7.21635e-05, -2.82324e-05
2.32054e-05, 7.21671e-05, -2.82334e-05
2.3207e-05, 7.21703e-05, -2.82342e-05
2.32084e-05, 7.21733e-05, -2.8235e-05
2.32097e-05, 7.21759e-05, -2.82356e-05
2.32109e-05, 7.21784e-05, -2.82363e-05
2.32119e-05, 7.21806e-05, -2.82368e-05
2.32129e-05, 7.21825e-05, -2.82373e-05
2.32138e-05, 7.21843e-05, -2.82378e-05
2.32146e-05, 7.2186e-05, -2.82382e-05
2.32153e-05, 7.21874e-05, -2.82386e-05
2.32159e-05, 7.21888e-05, -2.82389e-05
2.32165e-05, 7.219e-05, -2.82392e-05
2.3217e-05, 7.21911e-05, -2.82395e-05
2.32175e-05, 7.21921e-05, -2.82398e-05
2.3218e-05, 7.21929e-05, -2.824e-05
2.32184e-05, 7.21938e-05, -2.82402e-05
2.32187e-05, 7.21945e-05, -2.82404e-05
2.3219e-05, 7.21952e-05, -2.82406e-05
2.32193e-05, 7.21957e-05, -2.82407e-05
2.32196e-05, 7.21963e-05, -2.82409e-05
2.32198e-05, 7.21968e-05, -2.8241e-05
2.322e-05, 7.21972e-05, -2.82411e-05
2.32202e-05, 7.21976e-05, -2.82412e-05
2.32204e-05, 7.2198e-05, -2.82413e-05
2.32206e-05, 7.21983e-05, -2.82414e-05
2.32207e-05, 7.21986e-05, -2.82415e-05
2.32209e-05, 7.21989e-05, -2.82415e-05
2.3221e-05, 7.21991e-05, -2.82416e-05
2.32211e-05, 7.21994e-05, -2.82416e-05
2.32212e-05, 7.21996e-05, -2.82417e-05
2.32213e-05, 7.21997e-05, -2.82417e-05
2.32213e-05, 7.21999e-05, -2.82418e-05
2.32214e-05, 7.22001e-05, -2.82418e-05
2.32215e-05, 7.22002e-05, -2.82419e-05
2.32215e-05, 7.22003e-05, -2.82419e-05
2.32216e-05, 7.22004e-05, -2.82419e-05
2.32216e-05, 7.22005e-05, -2.82419e-05
2.32217e-05, 7.22006e-05, -2.8242e-05
2.32217e-05, 7.22007e-05, -2.8242e-05
2.32218e-05, 7.22008e-05, -2.8242e-05
2.32218e-05, 7.22008e-05, -2.8242e-05
2.32218e-05, 7.22009e-05, -2.8242e-05
2.32219e-05, 7.2201e-05, -2.82421e-05
2.32219e-05, 7.2201e-05, -2.82421e-05
2.32219e-05, 7.22011e-05, -2.82421e-05
2.32219e-05, 7.22011e-05, -2.82421e-05
2.32219e-05, 7.22011e-05, -2.82421e-05
2.3222e-05, 7.22012e-05, -2.82421e-05
2.3222e-05, 7.22012e-05, -2.82421e-05
2.3222e-05, 7.22012e-05, -2.82421e-05
2.3222e-05, 7.22012e-05, -2.82421e-05
2.3222e-05, 7.22013e-05, -2.82421e-05
2.3222e-05, 7.22013e-05, -2.82421e-05
2.3222e-05, 7.22013e-05, -2.82421e-05
2.3222e-05, 7.22013e-05, -2.82422e-05
2.3222e-05, 7.22013e-05, -2.82422e-05
2.3222e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22014e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
